group,element,private_creator,vr,vm,keyword,name,description,retired,vendors,sources
0000,1010,,US,1-n,ZonalMap,Zonal Map,,Y,standard,PS3.6
0000,2031,,CS,1-n,SourceImageIDs,Source Image IDs,,Y,standard,PS3.6
0001,0000,,US,3,EscapeTriplet,Escape Triplet,,Y,standard,PS3.6
0001,0001,,US,3,RunLengthTriplet,Run Length Triplet,,Y,standard,PS3.6
0001,0002,,US,1,HuffmanTableSize,Huffman Table Size,,Y,standard,PS3.6
0001,0003,,US,3,HuffmanTableTriplet,Huffman Table Triplet,,Y,standard,PS3.6
0001,0004,,US,1,ShiftTableSize,Shift Table Size,,Y,standard,PS3.6
0001,0005,,US,3,ShiftTableTriplet,Shift Table Triplet,,Y,standard,PS3.6
0002,0000,,UL,1,FileMetaInformationGroupLength,File Meta Information Group Length,,N,standard,PS3.6
0002,0001,,OB,1,FileMetaInformationVersion,File Meta Information Version,,N,standard,PS3.6
0002,0002,,UI,1,MediaStorageSOPClassUID,Media Storage SOP Class UID,,N,standard,PS3.6
0002,0003,,UI,1,MediaStorageSOPInstanceUID,Media Storage SOP Instance UID,,N,standard,PS3.6
0002,0010,,UI,1,TransferSyntaxUID,Transfer Syntax UID,,N,standard,PS3.6
0002,0012,,UI,1,ImplementationClassUID,Implementation Class UID,,N,standard,PS3.6
0002,0013,,SH,1,ImplementationVersionName,Implementation Version Name,,N,standard,PS3.6
0002,0016,,AE,1,SourceApplicationEntityTitle,Source Application Entity Title,,N,standard,PS3.6
0002,0017,,AE,1,SendingApplicationEntityTitle,Sending Application Entity Title,,N,standard,PS3.6
0002,0018,,AE,1,ReceivingApplicationEntityTitle,Receiving Application Entity Title,,N,standard,PS3.6
0002,0026,,UR,1,SourcePresentationAddress,Source Presentation Address,,N,standard,PS3.6
0002,0027,,UR,1,SendingPresentationAddress,Sending Presentation Address,,N,standard,PS3.6
0002,0028,,UR,1,ReceivingPresentationAddress,Receiving Presentation Address,,N,standard,PS3.6
0002,0031,,OB,1,RTVMetaInformationVersion,RTV Meta Information Version,,N,standard,PS3.6
0002,0032,,UI,1,RTVCommunicationSOPClassUID,RTV Communication SOP Class UID,,N,standard,PS3.6
0002,0033,,UI,1,RTVCommunicationSOPInstanceUID,RTV Communication SOP Instance UID,,N,standard,PS3.6
0002,0035,,OB,1,RTVSourceIdentifier,RTV Source Identifier,,N,standard,PS3.6
0002,0036,,OB,1,RTVFlowIdentifier,RTV Flow Identifier,,N,standard,PS3.6
0002,0037,,UL,1,RTVFlowRTPSamplingRate,RTV Flow RTP Sampling Rate,,N,standard,PS3.6
0002,0038,,FD,1,RTVFlowActualFrameDuration,RTV Flow Actual Frame Duration,,N,standard,PS3.6
0002,0100,,UI,1,PrivateInformationCreatorUID,Private Information Creator UID,,N,standard,PS3.6
0002,0102,,OB,1,PrivateInformation,Private Information,,N,standard,PS3.6
0002,8040,,US,1,RowsForNthOrderCoefficients,Rows For Nth Order Coefficients,,Y,standard,PS3.6
0002,8041,,US,1,ColumnsForNthOrderCoefficients,Columns For Nth Order Coefficients,,Y,standard,PS3.6
0002,8042,,LO,1-n,CoefficientCoding,Coefficient Coding,,Y,standard,PS3.6
0002,8043,,AT,1-n,CoefficientCodingPointers,Coefficient Coding Pointers,,Y,standard,PS3.6
0002,8080,,CS,1-n,CodeLabel,Code Label,,Y,standard,PS3.6
0002,8082,,US,1,NumberOfTables,Number of Tables,,Y,standard,PS3.6
0002,8083,,AT,1-n,CodeTableLocation,Code Table Location,,Y,standard,PS3.6
0002,8084,,US,1,BitsForCodeWord,Bits For Code Word,,Y,standard,PS3.6
0002,8088,,AT,1-n,ImageDataLocation,Image Data Location,,Y,standard,PS3.6
0004,1130,,CS,1,FileSetID,File-set ID,,N,standard,PS3.6
0004,1141,,CS,1-8,FileSetDescriptorFileID,File-set Descriptor File ID,,N,standard,PS3.6
0004,1142,,CS,1,SpecificCharacterSetOfFileSetDescriptorFile,Specific Character Set of File-set Descriptor File,,N,standard,PS3.6
0004,1200,,UL,1,OffsetOfTheFirstDirectoryRecordOfTheRootDirectoryEntity,Offset of the First Directory Record of the Root Directory Entity,,N,standard,PS3.6
0004,1202,,UL,1,OffsetOfTheLastDirectoryRecordOfTheRootDirectoryEntity,Offset of the Last Directory Record of the Root Directory Entity,,N,standard,PS3.6
0004,1212,,US,1,FileSetConsistencyFlag,File-set Consistency Flag,,N,standard,PS3.6
0004,1220,,SQ,1,DirectoryRecordSequence,Directory Record Sequence,,N,standard,PS3.6
0004,1400,,UL,1,OffsetOfTheNextDirectoryRecord,Offset of the Next Directory Record,,N,standard,PS3.6
0004,1410,,US,1,RecordInUseFlag,Record In-use Flag,,N,standard,PS3.6
